iter	Passed	Remaining
0	53	53022
1	53	26710
2	53	17910
3	54	13510
4	54	10872
5	55	9113
6	55	7855
7	55	6912
8	56	6178
9	56	5590
10	56	5112
11	57	4710
12	57	4371
13	57	4081
14	58	3830
15	58	3609
16	59	3415
17	59	3242
18	59	3086
19	60	2948
20	60	2821
21	60	2707
22	61	2602
23	61	2505
24	62	2418
25	62	2336
26	62	2260
27	63	2190
28	63	2127
29	63	2066
30	64	2008
31	64	1955
32	65	1905
33	65	1858
34	65	1813
35	66	1771
36	66	1731
37	66	1693
38	67	1656
39	67	1622
40	67	1589
41	68	1559
42	68	1529
43	69	1501
44	69	1473
45	69	1447
46	70	1423
47	70	1399
48	70	1376
49	71	1354
50	71	1333
51	72	1313
52	72	1293
53	72	1275
54	73	1257
55	73	1239
56	73	1222
57	74	1206
58	74	1190
59	75	1175
60	75	1161
61	75	1147
62	76	1133
63	76	1120
64	76	1107
65	77	1095
66	77	1082
67	77	1068
68	78	1056
69	78	1045
70	79	1034
71	79	1023
72	79	1013
73	80	1002
74	80	993
75	80	983
76	81	973
77	81	964
78	81	955
79	82	946
80	82	938
81	83	929
82	83	921
83	83	913
84	84	904
85	84	896
86	84	888
87	84	880
88	85	873
89	85	866
90	86	859
91	86	853
92	86	846
93	87	840
94	87	833
95	87	827
96	88	821
97	88	815
98	88	809
99	89	804
100	89	798
101	89	791
102	90	786
103	90	780
104	90	775
105	91	770
106	91	765
107	92	760
108	92	755
109	92	750
110	93	745
111	93	741
112	93	736
113	94	732
114	94	727
115	94	722
116	95	718
117	95	714
118	95	709
119	96	705
120	96	701
121	96	697
122	97	692
123	97	688
124	97	684
125	98	680
126	98	677
127	98	672
128	99	669
129	99	666
130	99	662
131	100	659
132	100	655
133	100	652
134	101	649
135	101	646
136	102	642
137	102	639
138	102	636
139	103	633
140	103	630
141	103	627
142	104	624
143	104	621
144	104	618
145	105	615
146	105	612
147	105	610
148	106	607
149	106	604
150	107	601
151	107	599
152	107	596
153	108	593
154	108	591
155	108	588
156	109	586
157	109	583
158	109	581
159	110	578
160	110	576
161	110	574
162	111	571
163	111	569
164	112	567
165	112	565
166	112	563
167	113	561
168	113	558
169	114	557
170	114	555
171	114	553
172	115	551
173	115	549
174	116	547
175	116	545
176	116	543
177	117	541
178	117	539
179	117	537
180	118	534
181	118	532
182	118	531
183	119	529
184	119	527
185	120	525
186	120	523
187	120	522
188	121	520
189	121	518
190	122	517
191	122	515
192	122	513
193	123	511
194	123	510
195	123	508
196	124	506
197	124	505
198	125	503
199	125	502
200	126	501
201	126	500
202	127	499
203	127	498
204	128	497
205	128	495
206	129	494
207	129	493
208	129	491
209	130	490
210	130	488
211	131	487
212	131	485
213	131	484
214	132	482
215	132	481
216	132	479
217	133	478
218	133	476
219	134	475
220	134	473
221	134	472
222	135	471
223	135	469
224	135	468
225	136	467
226	136	465
227	137	464
228	137	462
229	137	461
230	138	460
231	138	459
232	139	458
233	139	457
234	140	456
235	140	455
236	141	454
237	141	452
238	141	451
239	142	450
240	142	449
241	142	447
242	143	446
243	143	445
244	144	444
245	144	443
246	144	441
247	145	440
248	145	439
249	146	438
250	146	437
251	146	436
252	147	434
253	147	433
254	148	432
255	148	431
256	148	430
257	149	429
258	149	428
259	150	426
260	150	425
261	150	424
262	151	423
263	151	422
264	151	421
265	152	420
266	152	419
267	153	418
268	153	417
269	153	416
270	154	415
271	154	414
272	155	412
273	155	411
274	155	410
275	156	409
276	156	408
277	156	407
278	157	406
279	157	405
280	158	404
281	158	403
282	158	402
283	159	401
284	159	400
285	160	399
286	160	398
287	160	397
288	161	397
289	162	397
290	162	396
291	163	395
292	163	394
293	163	393
294	164	392
295	164	391
296	165	391
297	166	392
298	167	391
299	167	391
300	169	393
301	170	393
302	171	393
303	171	392
304	171	391
305	172	390
306	172	389
307	173	389
308	173	388
309	174	387
310	174	386
311	174	385
312	175	384
313	175	383
314	175	382
315	176	381
316	176	380
317	177	379
318	177	378
319	177	377
320	178	376
321	178	375
322	178	374
323	179	373
324	179	372
325	179	372
326	180	371
327	180	370
328	181	369
329	181	368
330	181	367
331	182	366
332	182	365
333	182	364
334	183	363
335	183	362
336	183	361
337	184	361
338	184	360
339	185	359
340	185	358
341	185	357
342	186	356
343	186	355
344	186	354
345	187	354
346	187	353
347	188	352
348	188	351
349	188	350
350	189	349
351	189	348
352	189	347
353	190	346
354	190	346
355	190	345
356	191	344
357	191	343
358	191	342
359	192	341
360	192	341
361	193	340
362	193	339
363	193	338
364	194	337
365	194	336
366	194	336
367	195	335
368	195	334
369	195	333
370	196	332
371	196	331
372	197	331
373	197	330
374	197	329
375	198	328
376	198	328
377	198	327
378	199	326
379	199	326
380	200	325
381	200	324
382	200	323
383	201	322
384	201	322
385	202	321
386	202	320
387	202	319
388	203	318
389	203	318
390	203	317
391	204	316
392	204	315
393	204	315
394	205	314
395	205	313
396	205	312
397	206	312
398	206	311
399	207	310
400	207	309
401	207	309
402	208	308
403	208	307
404	208	306
405	209	306
406	209	305
407	210	304
408	210	304
409	210	303
410	211	302
411	211	301
412	211	301
413	212	300
414	212	299
415	213	299
416	213	298
417	213	297
418	214	296
419	214	296
420	214	295
421	215	294
422	215	294
423	215	293
424	216	292
425	216	291
426	217	291
427	217	290
428	217	289
429	218	289
430	218	288
431	218	287
432	219	287
433	219	286
434	219	285
435	220	284
436	220	284
437	220	283
438	221	282
439	221	282
440	222	281
441	222	280
442	222	280
443	223	279
444	223	278
445	223	278
446	224	277
447	224	276
448	224	276
449	225	275
450	225	274
451	226	274
452	226	273
453	226	272
454	227	272
455	227	271
456	227	270
457	228	270
458	228	269
