iter	Passed	Remaining
0	53	53142
1	53	26785
2	54	17981
3	54	13583
4	54	10942
5	55	9177
6	55	7931
7	56	6997
8	56	6260
9	57	5688
10	58	5235
11	58	4834
12	59	4513
13	60	4273
14	61	4055
15	62	3827
16	62	3624
17	63	3442
18	63	3286
19	64	3141
20	64	3008
21	64	2889
22	65	2778
23	65	2677
24	66	2585
25	66	2501
26	67	2430
27	67	2357
28	68	2287
29	68	2221
30	69	2161
31	69	2103
32	69	2050
33	71	2028
34	72	1989
35	72	1952
36	73	1912
37	74	1875
38	74	1842
39	75	1805
40	75	1768
41	75	1733
42	76	1699
43	76	1667
44	77	1636
45	77	1609
46	78	1582
47	78	1555
48	78	1530
49	79	1505
50	79	1481
51	79	1457
52	80	1434
53	80	1412
54	81	1392
55	81	1373
56	81	1356
57	82	1338
58	82	1320
59	83	1303
60	83	1286
61	84	1270
62	84	1255
63	85	1243
64	85	1232
65	86	1218
66	86	1204
67	86	1190
68	87	1177
69	87	1164
70	88	1151
71	88	1140
72	88	1129
73	89	1118
74	89	1108
75	90	1099
76	91	1093
77	91	1087
78	92	1077
79	92	1068
80	93	1058
81	93	1048
82	93	1036
83	94	1027
84	94	1017
85	94	1008
86	95	1002
87	95	994
88	96	987
89	96	979
90	97	971
91	97	963
92	98	955
93	98	948
94	98	941
95	99	934
96	99	930
97	100	923
98	100	916
99	101	910
100	101	903
101	101	897
102	102	891
103	102	885
104	103	879
105	104	877
106	104	873
107	105	868
108	105	865
109	106	860
110	106	855
111	107	850
112	107	844
113	107	838
114	108	833
115	108	828
116	108	822
117	109	817
118	109	812
119	111	814
120	111	810
121	111	805
122	112	800
123	112	797
124	113	793
125	113	788
126	114	783
127	114	781
128	115	778
129	115	774
130	116	772
131	117	769
132	117	766
133	118	762
134	118	758
135	118	754
136	119	750
137	119	746
138	119	743
139	120	739
140	120	735
141	121	731
142	121	727
143	121	723
144	122	720
145	122	716
146	122	712
147	123	709
148	123	705
149	123	702
150	124	698
151	125	701
152	126	698
153	127	698
154	127	695
155	128	692
156	128	689
157	128	686
158	129	683
159	129	681
160	129	677
161	130	674
162	130	672
163	131	669
164	131	666
165	132	664
166	132	662
167	133	659
168	133	656
169	133	653
170	134	650
171	134	647
172	134	644
173	135	641
174	135	638
175	135	635
176	135	632
177	136	629
178	136	626
179	136	623
180	137	620
181	137	617
182	137	614
183	137	611
184	138	608
185	138	606
186	138	603
187	139	600
188	139	597
189	139	595
190	140	593
191	140	591
192	141	590
193	141	588
194	142	586
195	142	584
196	142	582
197	143	581
198	144	579
199	144	578
200	145	576
201	145	574
202	145	573
203	146	571
204	146	568
205	147	566
206	147	564
207	147	562
208	148	560
209	148	558
210	148	556
211	149	554
212	149	553
213	150	551
214	150	549
215	150	547
216	151	545
217	151	543
218	151	541
219	152	539
220	152	538
221	153	536
222	153	534
223	153	532
224	154	530
225	154	529
226	154	527
227	155	525
228	155	524
229	156	523
230	156	521
231	157	520
232	157	519
233	158	518
234	159	517
235	159	516
236	160	515
237	160	514
238	161	513
239	161	511
240	161	509
241	162	508
242	162	506
243	163	506
244	163	504
245	164	503
246	164	501
247	164	500
248	165	498
249	165	497
250	166	495
251	166	493
252	166	492
253	167	490
254	167	489
255	167	487
256	168	486
257	168	485
258	169	483
259	169	482
260	169	480
261	170	479
262	170	478
263	171	477
264	171	476
265	172	474
266	172	473
267	173	472
268	173	472
269	174	472
270	175	471
271	175	470
272	176	469
273	176	468
274	177	467
275	177	466
276	178	465
277	178	464
278	179	462
279	179	461
280	179	460
281	180	458
282	180	457
283	180	456
284	181	454
285	181	453
286	182	452
287	182	450
288	182	449
289	185	453
290	185	452
291	186	451
292	186	450
293	186	448
294	187	447
295	187	446
296	188	445
297	188	444
298	188	442
299	189	441
300	189	440
301	190	439
302	190	438
303	190	437
304	191	435
305	191	435
306	192	434
307	193	433
308	193	433
309	194	432
310	194	431
311	194	429
312	195	428
313	195	427
314	195	425
315	196	424
316	196	423
317	196	421
318	197	420
319	197	419
320	197	418
321	198	417
322	198	416
323	198	415
324	199	413
325	199	413
326	200	412
327	200	410
328	200	409
329	201	408
330	201	407
331	202	406
332	202	406
333	203	405
334	204	405
335	204	404
336	205	403
337	205	402
338	206	401
339	206	400
340	206	399
341	207	398
342	207	397
343	208	396
344	208	395
345	208	394
346	209	394
347	209	393
348	210	392
349	210	391
350	210	390
351	211	389
352	211	388
353	212	387
354	212	386
355	213	385
356	213	384
357	213	383
358	213	382
359	214	380
360	214	379
361	214	378
362	215	377
363	215	377
364	216	376
365	216	375
366	216	374
367	217	373
368	217	372
369	218	371
370	218	371
371	219	370
372	219	369
373	220	368
374	220	367
375	220	366
376	221	365
377	221	364
378	222	363
379	222	363
380	223	362
381	223	361
382	224	361
383	224	360
384	225	359
385	225	358
386	225	357
387	226	356
388	226	355
389	226	354
390	227	353
391	227	352
392	227	351
393	228	350
394	228	349
395	228	348
396	228	347
397	229	347
398	229	346
399	230	345
400	230	344
401	231	343
402	231	343
403	232	342
404	232	341
405	233	341
406	233	340
407	234	340
408	235	339
409	235	339
410	236	338
411	236	337
412	236	336
413	237	336
414	237	335
415	238	334
416	238	333
417	238	332
418	239	331
419	239	330
420	239	329
421	240	329
422	240	328
423	241	327
424	241	326
425	242	326
426	242	325
427	242	324
428	243	323
429	243	322
430	243	321
431	244	321
432	244	320
433	245	319
434	246	319
435	246	318
436	247	318
437	248	318
438	249	318
439	249	317
440	249	316
441	250	316
442	251	315
443	251	315
444	252	314
445	252	313
446	252	312
447	253	312
448	253	311
449	254	310
450	254	309
451	254	309
452	255	308
453	255	307
454	256	306
455	256	305
456	256	305
457	257	304
458	257	303
459	257	302
460	258	301
461	258	301
462	258	300
463	259	299
464	259	298
465	260	298
466	260	297
467	261	297
468	261	296
469	262	295
470	262	294
471	262	294
472	263	293
473	263	292
474	264	291
475	264	291
476	264	290
477	265	289
478	265	288
479	266	288
480	266	287
481	266	286
482	267	285
483	267	285
484	268	284
485	268	283
486	268	283
487	269	282
488	269	281
489	270	281
490	270	280
491	271	280
492	271	279
493	272	278
494	272	278
495	272	277
496	273	276
497	273	275
498	274	275
499	274	274
500	274	273
501	275	273
502	275	272
503	276	271
504	276	271
505	277	270
506	278	270
507	278	270
508	279	269
509	280	269
510	280	268
511	280	267
512	281	267
513	281	266
514	282	265
515	282	265
516	282	264
517	283	263
518	283	262
519	284	262
520	284	261
521	284	260
522	285	259
523	285	259
524	285	258
525	286	257
526	286	257
527	286	256
528	287	255
529	287	254
530	287	254
531	288	253
532	288	252
533	288	251
534	289	251
535	289	250
536	289	249
537	290	249
538	290	248
539	291	248
540	291	247
541	292	246
542	292	246
543	293	245
544	293	244
545	293	244
546	294	243
547	295	243
548	295	242
